ID_Kandidat,Nama,Umur,Kota_Asal,Pendidikan,Skor_Pendidikan,Pengalaman_Tahun,Tes_Teknis,Wawancara,Soft_Skills,Kedisiplinan
KRY-053,Bagas Handoko,32,Makassar,S2,4,10,62,75,80,94
KRY-054,Cici Purnomo,29,Medan,S1,3,5,50,65,60,86
KRY-055,Denny Gunawan,24,Pekanbaru,SMA/SMK,1,2,52,69,56,77
KRY-056,Elsa Suryadi,29,Medan,S2,4,6,81,66,74,92
KRY-057,Fajar Hakim,27,Medan,D3,2,4,64,65,50,78
KRY-058,Gita Firmansyah,29,Makassar,S1,3,6,53,81,91,69
KRY-059,Hadi Kusuma,26,Jakarta,SMA/SMK,1,2,58,75,83,93
KRY-060,Indah Rahim,25,Yogyakarta,S1,3,3,71,64,61,83
KRY-061,Jaya Pratama,25,Palembang,S2,4,3,62,81,45,67
KRY-062,Kiki Wijaya,25,Palembang,D3,2,3,63,75,85,76
KRY-063,Lukas Santoso,25,Bandung,D3,2,1,62,80,66,69
KRY-064,Mega Kurniawan,25,Makassar,SMA/SMK,1,2,44,78,84,64
KRY-065,Nando Setiawan,25,Bandung,D3,2,2,65,62,47,87
KRY-066,Olive Hidayat,25,Semarang,S1,3,3,73,65,60,97
KRY-067,Panji Nugroho,24,Semarang,D3,2,1,73,80,68,64
KRY-068,Queena Rahayu,28,Bandung,S1,3,5,78,78,68,83
KRY-069,Reza Saputra,26,Makassar,S1,3,2,51,71,62,71
KRY-070,Shinta Susanto,33,Bandung,S2,4,9,61,73,76,73
KRY-071,Tegar Wibowo,31,Palembang,S1,3,7,72,86,54,72
KRY-072,Uli Hartono,32,Denpasar,S2,4,8,77,65,66,69
KRY-073,Vicky Handoko,29,Surabaya,S1,3,7,72,78,69,78
KRY-074,Wulan Purnomo,27,Medan,S1,3,3,100,69,74,69
KRY-075,Yanto Gunawan,26,Surabaya,S2,4,3,78,69,77,80
KRY-076,Imam Suryadi,29,Makassar,S1,3,7,79,84,53,77
KRY-077,Anton Hakim,32,Surabaya,S2,4,9,82,81,48,75
KRY-078,Bela Firmansyah,24,Semarang,SMA/SMK,1,1,64,80,84,68
KRY-079,Candra Kusuma,25,Pekanbaru,S1,3,2,63,86,72,72
KRY-080,Desta Rahim,28,Medan,D3,2,4,70,72,58,85
KRY-081,Erni Pratama,29,Yogyakarta,S1,3,5,58,79,88,83
KRY-082,Ferdi Wijaya,25,Makassar,D3,2,3,59,68,69,68
KRY-083,Gani Santoso,31,Medan,S2,4,9,66,75,83,78
KRY-084,Hana Kurniawan,34,Surabaya,S2,4,10,72,70,68,85
KRY-085,Jihan Setiawan,32,Semarang,S2,4,9,97,73,94,61
KRY-086,Koko Hidayat,23,Jakarta,D3,2,1,41,78,90,83
KRY-087,Lena Nugroho,28,Denpasar,S1,3,4,74,62,64,71
KRY-088,Manda Rahayu,31,Yogyakarta,S2,4,7,54,95,80,83
KRY-089,Niko Saputra,28,Denpasar,S1,3,4,61,60,76,70
KRY-090,Ola Susanto,31,Medan,S2,4,8,83,58,85,60
KRY-091,Pandu Wibowo,25,Semarang,D3,2,1,62,84,55,61
KRY-092,Rama Hartono,27,Semarang,D3,2,3,50,80,76,78
KRY-093,Salsa Handoko,31,Surabaya,S1,3,7,59,78,81,80
KRY-094,Tika Purnomo,25,Palembang,D3,2,1,69,78,45,68
KRY-095,Udin Gunawan,25,Surabaya,D3,2,3,53,71,52,84
KRY-096,Vera Suryadi,27,Palembang,S2,4,5,74,62,41,61
KRY-097,Wawan Hakim,29,Palembang,S1,3,5,67,72,64,77
KRY-098,Xena Firmansyah,29,Yogyakarta,S2,4,6,64,64,77,65
KRY-099,Yola Kusuma,29,Surabaya,S2,4,7,95,82,87,71
KRY-100,Zara Rahim,34,Jakarta,S2,4,10,78,70,68,78
